"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"STOPARD, Isaac J","isaac.stopard11","Isaac","STOPARD","Research Associate","Isaac Stopard",NA,"isaac stopard","Research Associate"
"HAMLEY, Jonathan I D","jonathan.hamley11","Jonathan","HAMLEY","Visiting Researcher",NA,"Dr","jonathan hamley","Visiting Researcher"
"JAWAD, Mohammed","mohammed.jawad06","Mohammed","JAWAD","Honorary Clinical Research Fellow",NA,"Dr","mohammed jawad","Honorary Clinical Research Fellow"
"SHEPPARD, Richard J","richard.sheppard11","Richard","SHEPPARD","Research Associate",NA,"Dr","richard sheppard","Research Associate"
"JOHNSON, Robert A (Rob)","robert.johnson11","Robert","JOHNSON","Research Associate",NA,"Dr","robert johnson",NA
"BEANEY, Thomas E","thomas.beaney","Thomas","BEANEY","Clinical Research Fellow",NA,"Dr","thomas beaney","Clinical Research Fellow"
"COWLING, Thomas E","t.cowling","Thomas","COWLING","Honorary Lecturer","Dr Thomas Cowling",NA,"thomas cowling","Honorary Lecturer"
"CAI, Yutong (Samuel)","yutong.cai","Yutong","CAI","Honorary Research Fellow","DR YUTONG SAMUEL CAI",NA,"yutong cai",NA
"HASSOUNAH, Sondus","s.hassounah","Sondus","HASSOUNAH","Senior Teaching Fellow in Public Health",NA,"Dr","sondus hassounah","Senior Teaching Fellow in Public Health"
"LENNOX, Laura","l.lennox","Laura","LENNOX","Improvement Science / Health Improvement Lead","Dr Laura Lennox",NA,"laura lennox","Improvement Science / Health Improvement Lead"
"SYMONS, Joshua D","j.symons","Joshua","SYMONS","Honorary Research Fellow","MR JOSHUA SYMONS",NA,"joshua symons",NA
"SAADI, Habib","h.saadi","Habib","SAADI",NA,NA,NA,"habib saadi",NA
"MASTELLOS, Nikolaos (Nikolas)","n.mastellos","Nikolaos","MASTELLOS","Honorary Lecturer","Dr Nikolas Mastellos",NA,"nikolaos mastellos",NA
"OUDE GRIEP, Linda M","l.oude-griep","Linda","OUDE GRIEP","Honorary Research Fellow",NA,"Dr","linda oude griep",NA
"MULLA, Umme Zeinab","zeinab.mulla","Umme","MULLA","Senior Teaching Fellow in Public Health","Dr Zeinab Mulla",NA,"umme mulla","Senior Teaching Fellow in Public Health"
"MONJE GARCIA, Laura","l.monje-garcia","Laura","MONJE GARCIA",NA,NA,NA,"laura monje garcia",NA
"DIDELOT, Xavier","x.didelot","Xavier","DIDELOT","Visiting Professor",NA,"Dr","xavier didelot","Visiting Professor"
"ABAR, Leila","l.abar","Leila","ABAR","Research Postgraduate",NA,"Mrs","leila abar","Research Postgraduate"
"STEVENS, Gretchen","gretchen.stevens","Gretchen","STEVENS",NA,NA,NA,"gretchen stevens","Honorary Research Associate"
"NOUVELLET, Pierre","p.nouvellet","Pierre","NOUVELLET","Visiting Reader",NA,"Dr","pierre nouvellet","Visiting Reader"
"SILHOL, Romain","r.silhol","Romain","SILHOL","Research Fellow",NA,"Dr","romain silhol","Research Fellow"
"WATT, Hilary C","h.watt","Hilary","WATT","Teaching Fellow","Hilary Watt CStat FHEA MSc MA(Oxon) BA",NA,"hilary watt","Teaching Fellow"
"AFAQ, Saima","s.afaq11","Saima","AFAQ",NA,NA,NA,"saima afaq","Honorary Research Fellow"
"PAREKH, Ravi","r.parekh","Ravi","PAREKH","Deputy Director of Medical Education Innovation and Research",NA,"Dr","ravi parekh","Deputy Director of Medical Education Innovation and Research"
"CHANG, Chu-Mei (Kiara)","chu-mei.chang","Chu-Mei","CHANG","NIHR Research Fellow","Dr Kiara C-M Chang",NA,"chu-mei chang",NA
"SEGURA LEPE, Marcelo P","m.segura-lepe","Marcelo","SEGURA LEPE",NA,NA,NA,"marcelo segura lepe",NA
"THOMAS, Ranjeeta A","ranjeeta.thomas","Ranjeeta","THOMAS","Honoray Lecturer",NA,"Dr","ranjeeta thomas","Honoray Lecturer"
"IMAI, Natsuko","n.imai","Natsuko","IMAI","Honorary Senior Research Fellow","Dr Natsuko Imai",NA,"natsuko imai","Honorary Senior Research Fellow"
"PARKER, Edward P K","edward.parker","Edward","PARKER",NA,NA,NA,"edward parker","Visiting Researcher"
"DEHBI, Hakim-Moulay","hakim-moulay.dehbi12","Hakim-Moulay","DEHBI",NA,NA,NA,"hakim-moulay dehbi",NA
"SHAH, Anand","s.anand","Anand","SHAH","Honorary Clinical Senior Lecturer",NA,"Dr","anand shah","Honorary Clinical Senior Lecturer"
"NAYAGAM, Amanda Shevanthi (Shevanthi)","s.nayagam01","Amanda","NAYAGAM","Clinical Fellow",NA,"Dr","amanda nayagam",NA
"PERNECZKY, Robert G","r.perneczky","Robert","PERNECZKY","Visiting Professor",NA,"Dr","robert perneczky","Visiting Professor"
"LOH, Marie","m.loh","Marie","LOH","Honorary Senior Lecturer",NA,"Dr","marie loh","Honorary Senior Lecturer"
"KUMAR, Sonia","sonia.kumar","Sonia","KUMAR","Visiting Professor",NA,"Professor","sonia kumar","Visiting Professor"
"RIBOLI-SASCO, Eva F","e.riboli-sasco","Eva","RIBOLI-SASCO","Casual - Academic Research","Eva F Riboli-Sasco",NA,"eva riboli-sasco","Casual - Academic Research"
"RHODES, Johanna L","johanna.rhodes","Johanna","RHODES","Honorary Research Fellow",NA,"Dr","johanna rhodes","Honorary Research Fellow"
"LOVETT, Derryn","d.lovett","Derryn","LOVETT","Honorary Research Assistant","MR DERRYN LOVETT",NA,"derryn lovett","Honorary Research Assistant"
"EL-OSTA, Austen","a.el-osta","Austen","EL-OSTA","Primary Care Research Manager","Dr Austen El-Osta",NA,"austen el-osta","Primary Care Research Manager"
"PARSTON, Gregory (Greg)","g.parston","Gregory","PARSTON","Visiting Professor",NA,"Dr","gregory parston",NA
"ARINAMINPATHY, Nimalan (Nim)","nim.pathy","Nimalan","ARINAMINPATHY","Professor in Mathematical Epidemiology","Professor Nimalan Arinaminpathy (Nim Pathy)",NA,"nimalan arinaminpathy",NA
"CROSS, Amanda J","amanda.cross","Amanda","CROSS","Professor of Cancer Epidemiology","Professor Amanda Cross",NA,"amanda cross","Professor of Cancer Epidemiology"
"VOLZ, Erik","e.volz","Erik","VOLZ","Reader in Population Biology of Infectious Diseases",NA,"Dr","erik volz","Reader in Population Biology of Infectious Diseases"
"STEVENS, Christophe A T","christophe.stevens","Christophe","STEVENS","Software Engineer/Data Manager","Christophe Stevens",NA,"christophe stevens","Software Engineer/Data Manager"
"SHERRARD-SMITH, Eleanor (Ellie)","e.sherrard-smith","Eleanor","SHERRARD-SMITH","Advanced Research Fellow","Dr Ellie Sherrard-Smith",NA,"eleanor sherrard-smith",NA
"WYMANT, Christopher M (Chris)","c.wymant","Christopher","WYMANT","Honorary Research Associate","Dr Chris Wymant",NA,"christopher wymant",NA
"BRUTON, Pamela J (Jane)","j.bruton","Pamela","BRUTON",NA,NA,NA,"pamela bruton",NA
"KARAMAN, Ibrahim","i.karaman","Ibrahim","KARAMAN","Honorary Research Associate",NA,"Dr","ibrahim karaman","Honorary Research Associate"
"CROUCHER, Nicholas J","n.croucher","Nicholas","CROUCHER","Reader in Bacterial Genomics",NA,"Dr","nicholas croucher","Reader in Bacterial Genomics"
"ROBB, Catherine E","c.robb","Catherine","ROBB",NA,NA,NA,"catherine robb","Honorary Research Associate"
"FILIPPIDIS, Filippos","f.filippidis","Filippos","FILIPPIDIS","Senior Lecturer",NA,"Dr","filippos filippidis","Senior Lecturer"
"BAKER, Peter","peter.baker","Peter","BAKER",NA,NA,NA,"peter baker","Honorary Clinical Senior Lecturer"
"RODRIGUEZ MARTINEZ, Andrea","andrea.rodriguez-martinez13","Andrea","RODRIGUEZ MARTINEZ","Honorary Research Associate","Dr Andrea Rodriguez Martinez",NA,"andrea rodriguez martinez",NA
"CUCUNUBA PEREZ, Zulma M","zulma.cucunuba","Zulma","CUCUNUBA PEREZ","Honorary Lecturer","Dr Zulma M Cucunubá",NA,"zulma cucunuba perez",NA
"EVANGELOU, Evangelos","e.evangelou","Evangelos","EVANGELOU","Senior Lecturer",NA,"Dr","evangelos evangelou","Senior Lecturer"
"ZHOU, Bin","b.zhou13","Bin","ZHOU","Research Fellow",NA,"Dr","bin zhou",NA
"RASMUSSEN, Kristine","kristine.rasmussen12","Kristine","RASMUSSEN",NA,NA,NA,"kristine rasmussen","Honorary Clinical Research Fellow"
"TANNA, Nuttan","nuttan.tanna","Nuttan","TANNA",NA,NA,NA,"nuttan tanna","Honorary Senior Research Fellow"
"HONE, Thomas V R","t.hone","Thomas","HONE","Lecturer in Global Health Systems Research","Dr Thomas Hone",NA,"thomas hone","Lecturer in Global Health Systems Research"
"PALLADINO, Raffaele","r.palladino","Raffaele","PALLADINO","Research Associate",NA,"Dr","raffaele palladino","Research Associate"
"BERRY, Clare A","c.berry","Clare","BERRY",NA,NA,NA,"clare berry",NA
"RAWAF, David","d.rawaf","David","RAWAF","Web Editor for the WHO Collaborating Centre","Dr David Laith Rawaf",NA,"david rawaf","Web Editor for the WHO Collaborating Centre"
"SINGH, Samrat","samrat.singh","Samrat","SINGH","Research Associate in Food Policy",NA,"Dr","samrat singh","Research Associate in Food Policy"
"VERITY, Robert J","r.verity","Robert","VERITY","MRC Research Fellow",NA,"Dr","robert verity","MRC Research Fellow"
"GIANNAKOPOULOU, Parthenia","parthenia.giannakopoulou13","Parthenia","GIANNAKOPOULOU",NA,NA,NA,"parthenia giannakopoulou","Data Management Co-ordinator"
"GILL, Dipender P S","dipender.gill","Dipender","GILL","Clinical Research Fellow",NA,"Dr","dipender gill","Clinical Research Fellow"
"BROOKES, Lola","l.brookes","Lola","BROOKES",NA,NA,NA,"lola brookes","Visiting Researcher"
"NEVES, Ana Luisa","ana.luisa.neves14","Ana","NEVES","Clinical Senior Lecturer in Digital Health","Dr Ana Luisa Neves",NA,"ana neves","Clinical Senior Lecturer in Digital Health"
"DOUGLAS, Philippa","p.douglas","Philippa","DOUGLAS","Visiting Researcher Association",NA,"Dr","philippa douglas","Visiting Researcher Association"
"PONS SALORT, Margarita","m.pons-salort","Margarita","PONS SALORT","Sir Henry Dale Fellow (ARF)","Dr Margarita Pons-Salort",NA,"margarita pons salort",NA
"KARHUNEN, Ville M","v.karhunen","Ville","KARHUNEN",NA,NA,NA,"ville karhunen","Honorary Research Associate"
"HADJICHRYSANTHOU, Christoforos (Chris)","c.hadjichrysanthou","Christoforos","HADJICHRYSANTHOU","Research Associate","Dr Chris Hadjichrysanthou",NA,"christoforos hadjichrysanthou",NA
"VEGVARI, Carolin","c.vegvari","Carolin","VEGVARI","Visiting Researcher","Dr Carolin Vegvari",NA,"carolin vegvari","Visiting Researcher"
"PERERA, Dinithi","d.perera","Dinithi","PERERA",NA,NA,NA,"dinithi perera","Departmental Manager / Project Manager"
"DEHGHAN, Abbas","a.dehghan","Abbas","DEHGHAN","Reader in Cardiometabolic Disease Epidemiology",NA,"Dr","abbas dehghan","Reader in Cardiometabolic Disease Epidemiology"
"PAZOKI, Raha","r.pazoki","Raha","PAZOKI","Honorary Lecturer",NA,"Dr","raha pazoki","Honorary Lecturer"
"OUGHAM, Kayleigh","k.ougham","Kayleigh","OUGHAM",NA,NA,NA,"kayleigh ougham","Principal Data Analyst"
"NEDJATI GILANI, Gemma L","g.nedjati-gilani","Gemma","NEDJATI GILANI","Research Associate",NA,"Dr","gemma nedjati gilani",NA
"TSILIDIS, Konstantinos (Kostas)","k.tsilidis","Konstantinos","TSILIDIS","Reader in Cancer Epidemiology and Prevention",NA,"Dr","konstantinos tsilidis",NA
"MURPHY, Jennifer","j.murphy","Jennifer","MURPHY","Operations Manager",NA,"Dr","jennifer murphy","Operations Manager"
"UDEH-MOMOH, Chinedu T (Chi)","c.udeh","Chinedu","UDEH-MOMOH","Research Programme Manager",NA,"Dr","chinedu udeh-momoh",NA
"MCCORMACK, Clare P","c.mccormack14","Clare","MCCORMACK","Research Associate","Dr Clare McCormack",NA,"clare mccormack","Research Associate"
"BATES, Kieran","k.bates14","Kieran","BATES","Visiting Researcher","Dr Kieran Bates",NA,"kieran bates","Visiting Researcher"
"ROBBINS, Emma C L","e.robbins","Emma","ROBBINS","Research Postgraduate",NA,"Miss","emma robbins",NA
"JAUNEIKAITE, Elita","e.jauneikaite","Elita","JAUNEIKAITE","Advanced Research Fellow","Dr. Elita Jauneikaite",NA,"elita jauneikaite","Advanced Research Fellow"
"AUFEGGER, Lisa","l.aufegger","Lisa","AUFEGGER","Honorary Research Fellow",NA,"Dr","lisa aufegger",NA
"WHITTLES, Lilith K","l.whittles","Lilith","WHITTLES","Sir Henry Wellcome Postdoctoral Fellow",NA,"Dr","lilith whittles","Sir Henry Wellcome Postdoctoral Fellow"
"MEINERT, Edward","e.meinert14","Edward","MEINERT","Honorary Senior Lecturer","EUR ING Dr Edward A Meinert",NA,"edward meinert","Honorary Senior Lecturer"
"HEFFERNAN, Alastair","a.heffernan14","Alastair","HEFFERNAN",NA,NA,NA,"alastair heffernan",NA
"CHALLENGER, Joseph","j.challenger","Joseph","CHALLENGER","Research Associate",NA,"Dr","joseph challenger","Research Associate"
"FOLEY, Kimberley A","k.foley","Kimberley","FOLEY","Research Associate",NA,"Dr","kimberley foley","Research Associate"
"DHARMAYAT, Kanika S","kanika.dharmayat13","Kanika","DHARMAYAT","Research Postgraduate",NA,"Miss","kanika dharmayat",NA
"MITCHELL, Kate M (Kate)","kate.mitchell","Kate","MITCHELL","Honorary Senior Research Fellow","Dr Kate Mitchell",NA,"kate mitchell","Honorary Senior Research Fellow"
"DARLING, Andrea L","andrea.darling","Andrea","DARLING",NA,NA,NA,"andrea darling",NA
"FLOTT, Kelsey M","k.flott14","Kelsey","FLOTT","Honorary Senior Research Fellow","Dr Kelsey Flott",NA,"kelsey flott",NA
"RAO, Ahsan M","a.rao","Ahsan","RAO",NA,NA,NA,"ahsan rao","Honorary Research Associate"
"SZIGETI, Matyas","m.szigeti","Matyas","SZIGETI","Honorary Research Associate",NA,"Mr","matyas szigeti","Honorary Research Associate"
"RAO, Mala","mala.rao","Mala","RAO",NA,NA,NA,"mala rao","Senior Clinical Fellow"
"LEDDA, Alice","a.ledda","Alice","LEDDA","Visiting Researcher",NA,"Dr","alice ledda","Visiting Researcher"
"ALFANO, Rossella","r.alfano","Rossella","ALFANO",NA,NA,NA,"rossella alfano","Visiting Researcher"
"MURRAY, Kris A","kris.murray","Kris","MURRAY","Honorary Senior Lecturer",NA,"Professor","kris murray","Honorary Senior Lecturer"
"MA, Richard MMN","r.ma","Richard","MA","Honorary Clinical Research Fellow",NA,"Dr","richard ma","Honorary Clinical Research Fellow"
"HAY, James A","james.hay13","James","HAY","Honorary Research Fellow","Mr James Hay",NA,"james hay","Honorary Research Fellow"
"PRICE, Geraint J","g.price","Geraint","PRICE",NA,NA,NA,"geraint price","Consultant Clinical Research Neuropsychologist"
"SKARP, Janetta E","janetta.skarp13","Janetta","SKARP","Research Postgraduate",NA,"Miss","janetta skarp",NA
"RAY, Kausik K (Kosh)","k.ray","Kausik","RAY","Chair in Public Health (Clinical)",NA,"Professor","kausik ray",NA
"TRIANTAFYLLIDIS, Charalampos (Harry)","c.triantafyllidis","Charalampos","TRIANTAFYLLIDIS","Honorary Research Associate","Dr Charalampos (Harry) Triantafyllidis",NA,"charalampos triantafyllidis",NA
"BAGUELIN, Marc","m.baguelin","Marc","BAGUELIN","Senior Lecturer",NA,"Dr","marc baguelin","Senior Lecturer"
"ASANATI, Kaveh","k.asanati","Kaveh","ASANATI","Visiting Professor","Professor Kaveh Asanati",NA,"kaveh asanati","Visiting Professor"
"SEFERIDI, Paraskevi","paraskevi.seferidi14","Paraskevi","SEFERIDI","Research Fellow","Dr Paraskevi Seferidi",NA,"paraskevi seferidi","Research Fellow"
"FARRELL, Sam H","sam.farrell","Sam","FARRELL","Casual - GTA",NA,"Dr","sam farrell","Casual - GTA"
"DUTTA, Nina","n.dutta","Nina","DUTTA","Year 3 Medicine in the Community (MICA) GP Course Lead",NA,"Dr","nina dutta","Year 3 Medicine in the Community (MICA) GP Course Lead"
"FADAHUNSI, Philip","k.fadahunsi14","Philip","FADAHUNSI",NA,NA,NA,"philip fadahunsi",NA
"COSTELLOE, Ceire E","ceire.costelloe","Ceire","COSTELLOE","Visiting Professor","Dr Céire Costelloe",NA,"ceire costelloe","Visiting Professor"
"SU, Bowen","b.su","Bowen","SU","Research Associate","Dr Bowen Su",NA,"bowen su","Research Associate"
"AMATI, Federica","f.amati","Federica","AMATI","Research Associate","Dr Federica Amati PhD ANutr",NA,"federica amati","Research Associate"
"HONEYFORD, Catherine E (Kate)","k.honeyford","Catherine","HONEYFORD","Honorary Research Associate","Dr Kate Honeyford",NA,"catherine honeyford",NA
"VANDERBLOEMEN, Laura","l.vanderbloemen","Laura","VANDERBLOEMEN","Honorary Research Fellow",NA,"Dr","laura vanderbloemen","Honorary Research Fellow"
"VALLEJO-VAZ, Antonio Javier","a.vallejo-vaz","Antonio","VALLEJO-VAZ",NA,NA,NA,"antonio vallejo-vaz",NA
"BARBER, Susan","s.barber","Susan","BARBER",NA,NA,NA,"susan barber",NA
"FRENI STERRANTINO, Anna","a.freni-sterrantino","Anna","FRENI STERRANTINO","Honorary Research Associate",NA,"Dr","anna freni sterrantino",NA
"PARKS, Robbie M","r.parks15","Robbie","PARKS","Honorary Research Associate","Dr Robbie M. Parks",NA,"robbie parks","Honorary Research Associate"
"HAMLET, Arran T P","arran.hamlet14","Arran","HAMLET","Visiting Researcher",NA,"Dr","arran hamlet","Visiting Researcher"
"TADDESE, Henock B","h.taddese","Henock","TADDESE","Senior Teaching Fellow in Public Health",NA,"Dr","henock taddese","Senior Teaching Fellow in Public Health"
"GEIDELBERG, Lily L","l.geidelberg","Lily","GEIDELBERG",NA,NA,NA,"lily geidelberg",NA
"PEARSON-STUTTARD, Jonathan","j.pearson-stuttard","Jonathan","PEARSON-STUTTARD","Honorary Clinical Senior Lecturer",NA,"Dr","jonathan pearson-stuttard","Honorary Clinical Senior Lecturer"
"BENE, Benard","b.bene15","Benard","BENE",NA,NA,NA,"benard bene",NA
"HAW, David J","d.haw","David","HAW","Research Associate",NA,"Dr","david haw","Research Associate"
"MYRIDAKIS, Antonios (Antonis)","a.myridakis","Antonios","MYRIDAKIS","Research Associate","Dr Antonis Myridakis",NA,"antonios myridakis",NA
"WIELSCHER, Matthias","m.wielscher","Matthias","WIELSCHER","Honorary Senior Research Officer",NA,"Dr","matthias wielscher","Honorary Senior Research Officer"
"BOND, Thomas A M (Tom)","thomas.bond14","Thomas","BOND",NA,NA,NA,"thomas bond",NA
"JOHNSON, Nicholas A","nicholas.johnson","Nicholas","JOHNSON","Research Fellow",NA,"Mr","nicholas johnson","Research Fellow"
"DIXON-ZEGEYE, Matthew A S","m.dixon15","Matthew","DIXON-ZEGEYE","Research Associate","Dr Matthew Dixon-Zegeye",NA,"matthew dixon-zegeye","Research Associate"
"WATSON, Oliver J","o.watson15","Oliver","WATSON","Visiting Researcher","Dr Oliver (OJ) Watson",NA,"oliver watson","Visiting Researcher"
"FITZJOHN, Richard G","r.fitzjohn","Richard","FITZJOHN","Principal Architect, Research Software Engineering Group",NA,"Dr","richard fitzjohn","Principal Architect, Research Software Engineering Group"
"MULLER, David C","david.muller","David","MULLER","Senior Lecturer in Cancer Epidemiology and Biostatistics","Dr David C Muller",NA,"david muller","Senior Lecturer in Cancer Epidemiology and Biostatistics"
"WETH, Nikita","nikita.rajani14","Nikita","WETH",NA,NA,NA,"nikita weth","Honorary Research Associate"
"KOEHL, Arnaud","a.koehl15","Arnaud","KOEHL","Research Postgraduate","Arnaud C. Koehl",NA,"arnaud koehl",NA
"BERLANGA, Antonio","a.berlanga","Antonio","BERLANGA","Honorary Senior Research Fellow","Dr Antonio J Berlanga-Taylor",NA,"antonio berlanga","Honorary Senior Research Fellow"
"HAYHOE, Benedict W J","b.hayhoe","Benedict","HAYHOE",NA,NA,NA,"benedict hayhoe","Clinical Lecturer in Primary Care"
"CORNELIUS, Victoria R","v.cornelius","Victoria","CORNELIUS","Professor in Medical Statistics and Trials Methodology",NA,"Professor","victoria cornelius","Professor in Medical Statistics and Trials Methodology"
"MARTI, Joachim E F","j.marti","Joachim","MARTI","Honorary Senior Lecturer",NA,"Dr","joachim marti",NA
"PARKES, Brandon L","b.parkes","Brandon","PARKES",NA,NA,NA,"brandon parkes","Research Associate"
"SIVERONI, Igor A","i.siveroni","Igor","SIVERONI","Research Fellow  ",NA,"Dr","igor siveroni","Research Fellow"
"PREVOST, Andrew T (Toby)","a.prevost","Andrew","PREVOST","Visiting Professor","Professor Toby Prevost",NA,"andrew prevost",NA
"WESTON, Dale","d.weston","Dale","WESTON",NA,NA,NA,"dale weston","Honorary Research Associate"
"PIEL, Frederic B J (Fred)","f.piel","Frederic","PIEL","Senior Lecturer","Dr Frédéric B. Piel",NA,"frederic piel",NA
"PINTO, Rui J","r.pinto","Rui","PINTO","Research Associate in Chemometrics/Metabolomics",NA,"Dr","rui pinto","Research Associate in Chemometrics/Metabolomics"
"ANTONACCI, Grazia","g.antonacci","Grazia","ANTONACCI","Research Associate","Dr Grazia Antonacci",NA,"grazia antonacci","Research Associate"
"JONES, Kathryn N","k.jones","Kathryn","JONES","Clinical Research Manager",NA,"Dr","kathryn jones","Clinical Research Manager"
"ROBINSON, Oliver J K","o.robinson","Oliver","ROBINSON","Lecturer in Molecular Epidemiology",NA,"Dr","oliver robinson","Lecturer in Molecular Epidemiology"
"WANG, Weiyi","weiyi.wang14","Weiyi","WANG","Research Associate in Environmental Epidemiology",NA,"Dr","weiyi wang","Research Associate in Environmental Epidemiology"
"PIGGIN, Maria M","m.piggin","Maria","PIGGIN","PERC Partnerships & Training Manager","Ms Maria Piggin",NA,"maria piggin","PERC Partnerships & Training Manager"
"HABIB, Mariam","m.habib","Mariam","HABIB",NA,NA,NA,"mariam habib","Clinical Trial Manager"
"BHATT, Samir J","s.bhatt","Samir","BHATT","Professor of Statistics and Public Health",NA,"Professor","samir bhatt","Professor of Statistics and Public Health"
"DAGNINO, Sonia","sonia.dagnino","Sonia","DAGNINO","Visiting Professor","Prof Sonia Dagnino",NA,"sonia dagnino","Visiting Professor"
"NAKUBULWA, Mable A","m.nakubulwa","Mable","NAKUBULWA","Casual - GTA",NA,"Dr","mable nakubulwa",NA
"JORGENSEN, David N","david.jorgensen13","David","JORGENSEN","Research Assistant",NA,"Mr","david jorgensen","Research Assistant"
"JAWAD, Sena","s.jawad","Sena","JAWAD",NA,NA,NA,"sena jawad","Neonatal Clinical Trials Statistician"
"HASSANZADEH, Roya","r.hassanzadeh","Roya","HASSANZADEH",NA,NA,NA,"roya hassanzadeh","Clinical Research Fellow"
"JUNGHANS MINTON, Cornelia","c.junghans-minton","Cornelia","JUNGHANS MINTON","Senior Clinical Fellow in Primary Care/ Social Care Lead","Dr Cornelia Junghans Minton",NA,"cornelia junghans minton",NA
"MCLELLAN-YOUNG, Heather R","h.mclellan","Heather","MCLELLAN-YOUNG",NA,NA,NA,"heather mclellan-young","Casual - Administration Support"
"BODINIER, Barbara","b.bodinier","Barbara","BODINIER",NA,NA,NA,"barbara bodinier",NA
"CHALKIDOU, Kalypso (Kalipso)","k.chalkidou","Kalypso","CHALKIDOU","Visiting Professor","Professor Kalipso Chalkidou",NA,"kalypso chalkidou",NA
"DOWNEY, Laura E","l.downey","Laura","DOWNEY","Teaching Fellow in Public Health (Global Masters Programme)",NA,"Dr","laura downey","Teaching Fellow in Public Health (Global Masters Programme)"
"KUREK, Natalia Z","n.kurek","Natalia","KUREK",NA,NA,NA,"natalia kurek",NA
"EVANS, Stephanie","s.evans","Stephanie","EVANS",NA,NA,NA,"stephanie evans","Visiting Researcher"
"DEWA, Lindsay H","l.dewa","Lindsay","DEWA","Advanced Research Fellow","Dr Lindsay H. Dewa",NA,"lindsay dewa","Advanced Research Fellow"
"KIVIPELTO, Miia K","m.kivipelto","Miia","KIVIPELTO",NA,NA,NA,"miia kivipelto","Head of Unit - AGE: Ageing Epidemiology Unit"
"SHEEHAN, Annalisa N","a.sheehan","Annalisa","SHEEHAN","Research Assistant",NA,"Miss","annalisa sheehan","Research Assistant"
"CRO, Suzie M","s.cro","Suzie","CRO","Senior Lecturer in Medical Statistics and Clinical Trials","Dr Suzie Cro",NA,"suzie cro","Senior Lecturer in Medical Statistics and Clinical Trials"
"CIAVARELLA, Constanze","c.ciavarella16","Constanze","CIAVARELLA",NA,NA,NA,"constanze ciavarella",NA
"IURILLI, Maria Laura Caminia","m.iurilli16","Maria","IURILLI",NA,NA,NA,"maria iurilli",NA
"JERVIS, Phillip","p.jervis16","Phillip","JERVIS","Visiting Researcher",NA,"Dr","phillip jervis","Visiting Researcher"
"DOOHAN, Patrick E","patrick.doohan15","Patrick","DOOHAN","Research Associate",NA,"Dr","patrick doohan","Research Associate"
"RICKS, Saskia J","saskia.ricks12","Saskia","RICKS",NA,NA,NA,"saskia ricks",NA
"DIGHE, Amy","a.dighe16","Amy","DIGHE",NA,NA,NA,"amy dighe",NA
"CARIOLOU, Margarita","margarita.cariolou15","Margarita","CARIOLOU","Research Assistant in Nutrition","Ms Margarita Cariolou",NA,"margarita cariolou","Research Assistant in Nutrition"
"SOBIECKI, Jakub G","j.sobiecki","Jakub","SOBIECKI",NA,NA,NA,"jakub sobiecki","Research Associate in Epidemiology x2"
"WEBBE, James W H","j.webbe","James","WEBBE","Clinical Lecturer in Neonatal Population Health",NA,"Dr","james webbe","Clinical Lecturer in Neonatal Population Health"
"SAKONIDOU, Susanna","s.sakonidou","Susanna","SAKONIDOU","Research Postgraduate",NA,"Dr","susanna sakonidou",NA
"HOGAN, Alexandra B","a.hogan","Alexandra","HOGAN","Honorary Lecturer","Dr Alexandra Hogan",NA,"alexandra hogan","Honorary Lecturer"
"TORRES-VITOLAS, Carlos Alberto","c.torres-vitolas","Carlos","TORRES-VITOLAS","Honorary Research Associate","Dr Carlos A Torres Vitolas",NA,"carlos torres-vitolas","Honorary Research Associate"
"MARINOVA, Milla","m.marinova","Milla","MARINOVA",NA,NA,NA,"milla marinova","Honorary Research Fellow"
"CARRILLO LARCO, Rodrigo","r.carrillo-larco","Rodrigo","CARRILLO LARCO",NA,"Dr Rodrigo M. Carrillo Larco",NA,"rodrigo carrillo larco",NA
"LI, Xiang","x.li","Xiang","LI","Research Associate",NA,"Dr","xiang li","Research Associate"
"THOMPSON, Hayley A","hayley.thompson12","Hayley","THOMPSON","Casual - Academic Research",NA,"Miss","hayley thompson","Casual - Academic Research"
"KANG, Su Jin (Sujin)","sujin.kang","Su","KANG","Research Associate in Dementia Identification","Dr Sujin Kang",NA,"su kang",NA
"AUGUSTINE, Cherelle S","c.augustine","Cherelle","AUGUSTINE",NA,NA,NA,"cherelle augustine","Engagement Coordinator"
"BHATIA, Sangeeta","s.bhatia","Sangeeta","BHATIA","Visiting Researcher",NA,"Dr","sangeeta bhatia","Visiting Researcher"
"RODRIGUES, Sabrina","s.andrade-rodrigues","Sabrina","RODRIGUES","Senior Teaching Fellow",NA,"Dr","sabrina rodrigues","Senior Teaching Fellow"
"LAINE, Jessica","j.laine","Jessica","LAINE","Honorary Senior Research Fellow",NA,"Dr","jessica laine","Honorary Senior Research Fellow"
"OSAMA, Tasnime","tasnime.osama15","Tasnime","OSAMA",NA,NA,NA,"tasnime osama","Honorary Clinical Research Fellow"
"DE VILLIERS, Margaret J","m.de-villiers","Margaret","DE VILLIERS","Research Associate",NA,"Dr","margaret de villiers",NA
"SANIKINI, Harinakshi","h.sanikini","Harinakshi","SANIKINI",NA,NA,NA,"harinakshi sanikini","Research Associate"
"ROCA BARCELO, Aina","a.roca-barcelo","Aina","ROCA BARCELO","Research Postgraduate",NA,"Miss","aina roca barcelo",NA
